スタック領域,関数呼び出しや局所変数を管理するメモリ領域。LIFO構造で扱われる。
ヒープ領域,動的に確保・解放されるメモリ領域。プログラム実行時に必要に応じて使用。
スラッシング,メモリ不足で頻繁にページの入れ替えが起き、処理効率が著しく低下する現象。
スワップアウト,メモリからディスクへ一時的にデータを退避させること。
エンディアン,データのバイト順序。ビッグエンディアンとリトルエンディアンがある。
プリエンプティブ,OSが実行中のプロセスを強制的に割り込み、CPUを別のプロセスに割り当てる方式。
ノンプリエンプティブ,プロセスが自発的にCPUを手放すまで実行し続けるスケジューリング方式。
スーパスカラ,同時に複数の命令を並列処理できるCPU設計。
スーパーパイプライン,深いパイプラインを使い高いクロック周波数で処理効率を上げたCPU構造。
ページング,メモリを一定サイズのページに分割し、仮想メモリ管理を行う方式。
デマンドページング,必要なページを実際にアクセスするまでメモリに読み込まない方式。
プリページング,予め関連ページをまとめてメモリに読み込む方式。
ページフォルト,必要なページがメモリに無い場合に発生する例外。
スワッピング,プロセス全体を一時的にメモリ⇔ディスク間で移動させること。
FIFO,最初に入ったものを最初に出すキューの管理方式。
LRU,最近使われていないページを優先的に置き換えるページ置換アルゴリズム。
LIFO,最後に入ったものを最初に出すキューの管理方式。
オーバレイ,プログラムの部分的なメモリ配置技術。必要な部分だけメモリに読み込む。
DisplayPort,高解像度映像と音声を伝送するデジタル映像インターフェース規格。
VNF,ネットワーク機能をソフトウェアで実装した仮想ネットワーク機能。
ウォッチドッグタイマ,システム異常時にリセットをかけるための監視タイマー。
サーバコンソリデーション,複数のサーバを統合し、リソース利用効率を高める手法。
マスカブル割込み,マスク（無効化）できる割込みのこと。
セマフォ,複数のプロセス間で共有資源を制御するための同期機構。
プライベートアドレス,内部ネットワークで使われるインターネット非公開のIPアドレス範囲。
フラグメンテーション,メモリやディスクの空き領域が断片化して利用効率が下がる現象。
インデックス方式,データベースなどで検索を高速化するために、索引を作成する方式。
ハッシュ法,キーをハッシュ関数で変換し高速にデータを検索・格納する方法。
ガベージコレクション,不要になったメモリ領域を自動的に回収する仕組み。
リーク電流,トランジスタなど電子部品で発生する微小な漏れ電流。
IrDA,赤外線通信の規格。短距離で無線通信を行う技術。
RAID,複数のハードディスクを組み合わせて冗長性や速度を向上させる技術。
リアルタイムシステム,指定された時間内に処理を完了することが求められるシステム。
プリエンプション,実行中のタスクを強制的に中断し、他のタスクにCPUを割り当てること。
ディスパッチング,スケジューラが選んだタスクをCPUに切り替えて実行させる処理。
オーバヘッド,処理に必要な付加的な時間やリソース。
スループット,一定時間内に処理できる仕事量やデータ量。
IPマルチキャスト,一つの送信元から複数の受信先に同時にデータを送るIP通信方式。
テンペスト技術,電磁波などの漏洩から情報を盗聴する攻撃技術。
MIDI,音楽機器の演奏情報をデジタルでやりとりする規格。
Audio Codec ’97,PCのサウンド機能を規定した標準規格。
MP3,音声データを圧縮する一般的な音声フォーマット。
PCM,音声のアナログ信号をデジタル化する方式。
耐タンパ性,装置やシステムが改ざんや不正操作に耐える能力。
可監査性,システムの動作や記録が監査可能であること。
エネルギーハーベスティング,環境の微小なエネルギーを回収し利用する技術。
ファーストフィット方式,メモリ管理で空き領域リストの先頭から割り当てる方法。
ハフマン符号化方式,出現頻度に応じて可変長の符号を割り当てる圧縮方式。
バブルソート,隣接する要素を比較して入れ替える単純なソート方法。
挿入ソート,データを一つずつ適切な位置に挿入しながら整列するソート方法。
B木,データベース等で使用される平衡木構造の一種。
シェルソート,間隔を空けた要素を比較・交換して整列を高速化するソート。
クイックソート,分割統治法を用いた高速なソートアルゴリズム。
ヒープソート,ヒープ構造を使って整列を行うソートアルゴリズム。
アサーションチェッカ,プログラムの実行時に条件を検証し異常を検出するツール。
シミュレータ,実際の環境を模擬して動作を検証するソフトウェア。
静的コード解析ツール,実行せずにソースコードの問題点を検出するツール。
テストカバレージ分析ツール,テストがどの程度コードを網羅しているかを分析するツール。
限界値分析,有効値、超過、未満の3つに分類し、入力値の境界付近を重点的にテストする手法。
ブロックコード,符号化で誤り検出・訂正を行うために一定の長さで区切ったデータ単位。
VLIW,複数の命令を同時に実行するためにコンパイラが命令をまとめる方式。
ディストリビュータ,ソフトウェアやデータを配布・提供する役割。
マッシュアップ,複数のサービスやデータを組み合わせて新しいサービスを作ること。
動的再配置,実行時にプログラムの配置を変えて効率化する技術。
動的リンキング,実行時に外部のプログラムやライブラリを結合する技術。
分岐網羅,プログラムのすべての分岐をテストする手法。
条件網羅,条件式のすべての真偽パターンをテストする手法。
命令網羅,プログラム中のすべての命令を少なくとも一度は実行するテスト手法。
プロファイラ,実行時のプログラムの動作状況や性能を分析するツール。
パーサ,ソースコードを解析し構文構造を生成するプログラム。
再入可能プログラム,複数の実行が同時にあっても正しく動作するプログラム（リエントラント）。
逐次再使用可能なプログラム,実行が終了した後に再利用可能なプログラム。
トップダウンテスト,上位モジュールから順にテストを行う手法。
ファンクション層,ソフトウェアの機能単位の層。
オーバーライド,サブクラスが親クラスのメソッドを上書きすること。
オーバーロード,同じ名前で引数が異なる複数のメソッドを定義すること。
カプセル化,データと処理を一つにまとめ、外部からの直接アクセスを制限する技術。
汎化,複数の具体的なクラスをまとめて、共通の上位クラスに抽象化すること。犬、猫→哺乳類✩
リエントラント,複数の実行が同時にあっても安全に動作できるプログラムや関数。
リカーシブ,自分自身を呼び出して処理を行う関数や手法（再帰）。
リユーザブル,再利用可能なプログラムや部品。
リロケータブル,実行時にメモリ上の配置を変更可能なプログラム。
値呼出し,関数呼び出し時に値をコピーして渡す方法。
参照呼出し,関数呼び出し時に変数の参照（アドレス）を渡す方法。
プロトタイプモデル,試作品を作って仕様を検証しながら開発する手法。
スタブ,テスト対象モジュールの呼び出し元を代用する簡易プログラム。
ドライブ,テスト対象モジュールの呼び出し先を代用する簡易プログラム。
CGI（Common Gateway Interface）,ウェブサーバーから外部プログラムを実行する仕組み。
ピアレビュー,同僚同士でプログラムや文書を相互にチェックする手法。
STS分割,システムの機能を複数のサブシステムに分割する手法。
クロスコンパイラ,実行環境と異なるプラットフォーム用の実行ファイルを生成するコンパイラ。
ニモニックコード,人間が理解しやすい命令の短縮記号（アセンブリ言語の命令）。
SysML,システム設計向けのUML（統一モデリング言語）の拡張。
JavaBeans,Javaの再利用可能なコンポーネントを作るための規約。
EJB(Enterprise JavaBeans),Java EEのサーバーサイドコンポーネント技術（Enterprise JavaBeans）。
サンドイッチテスト,上位モジュールと下位モジュールの両方を同時にテストする手法。
並行シミュレーション,複数のシステムやプロセスを同時にシミュレートする方法。
OSI参照モデルと各プロトコル,ネットワーク通信を7層に分けて定義したモデル。各層に対応するプロトコルが存在する。
ARP,IPアドレスからMACアドレスを取得するプロトコル（Address Resolution Protocol）。
RARP,MACアドレスからIPアドレスを取得するためのプロトコル。
RIP,最短経路をホップ数で決める経路制御プロトコル。
CSMA/CD方式,衝突が起きたら再送する有線LANの通信方式（主にEthernet）。
CSMA/CA,衝突を事前に回避する無線LANの通信方式。
RTS/CTS方式,無線LANで送信前に予約を行って衝突を回避する仕組み。
トークンバッチ方式,トークンを持った機器だけが送信できる方式。通信の順序を制御。
CDN,コンテンツを複数のサーバーに分散して配信する仕組み。
PPP,点対点接続で使われる通信プロトコル。認証や圧縮などに対応。
SLIP,IPパケットをシリアル回線で送るための簡易プロトコル。古い方式。
UDP,軽量で高速だが信頼性のない通信プロトコル。
ポートスキャン,他の機器の開いているポートを調べる行為。
ブロードキャストストーム,ブロードキャストが過剰に発生し、ネットワークが麻痺する現象。
ICMP,ネットワークの状態を通知するための制御メッセージ用プロトコル。
IPsec,IP通信を暗号化して安全にするためのネットワーク層のプロトコル。
L2TP,VPN接続で使われるデータリンク層のトンネリングプロトコル。PPTPの後継。
リンクアグリゲーション,複数の物理回線を束ねて1つの論理回線として使う技術。
スパニングツリー,ループを防ぎつつ冗長構成を可能にするL2ネットワーク技術。
マルチホーミング,複数のISPに同時接続して冗長性を高める構成。
SSL/TLSアクセラレータ,暗号化処理を専用ハードで高速化する装置や機能。
MPLS,パケット転送を高速化するラベルベースの通信方式。
DNSBL,迷惑メール送信元のIPアドレスをブロックするDNSベースのリスト。
DHCP,IPアドレスを自動的に割り当てるプロトコル。
IPv6,IPアドレスを128ビットで表現する次世代のインターネットプロトコル。
SIP,インターネット電話（VoIP）などのセッション管理に使われるプロトコル。
SOAP,XML形式でメッセージ交換を行うWebサービス用プロトコル。
VRRP,仮想ルータで冗長化するプロトコル。
マルチキャストアドレス,特定のグループ宛にデータを送るためのIPアドレス。
NAPT（IPマスカレード）,複数の内部IPを1つのグローバルIPに変換する技術。
VAN,商取引などに使われる専用の通信ネットワーク（Value Added Network）。
TCPコネクション,TCPプロトコルによる信頼性の高い通信の接続。3-wayハンドシェイクを含む。
SDN,ネットワーク制御をソフトウェアで集中的に管理する技術。
NFV,ネットワーク機能をソフトウェア化して汎用サーバで実行する技術。
グリッドコンピューティング,複数のコンピュータを連携させ、仮想的に1つの高性能な計算機とする技術。
TDMA,時間を分割して複数の通信を同じ周波数で行う方式。
VRRP,複数のルータで仮想ルータを構成し、冗長性を高めるプロトコル。
NNTP,ニュースグループなどの記事配信に使われるプロトコル。
NTP,ネットワーク経由で時刻を同期するためのプロトコル。
ATM,セルベースの高速通信方式。音声・データを統一的に扱える。(Asynchronous Transfer Mode）
TLS,通信の暗号化を行うトランスポート層のプロトコル。SSLの後継。
ブロードキャスト,ネットワーク内の全端末にデータを一斉送信する通信方式。
LDAP,ディレクトリ情報を検索・管理するためのプロトコル。主に認証で使用。
VPN,仮想的な専用線をインターネット上に構築して安全に通信する技術。
RPC,遠隔のコンピュータ上の関数や手続きを呼び出すための通信方式。
LPWA,少ない電力で長距離通信できるIoT向けの無線通信技術。
I2C,センサなどとの通信に使われる2線式のシリアル通信規格。
WiGig,高速・短距離通信が可能な無線LAN規格（60GHz帯を使用）。
ZigBee(ジグビー),IoT機器向けの省電力・短距離の無線通信規格。
WPA2,無線LANのセキュリティ規格。WPAの後継で強化された暗号化方式を使用。
CCMP,WPA2で使われる暗号化方式。AESベースで高い安全性を持つ。
WPA,無線LANの暗号化方式。WEPの後継として登場したが、WPA2よりは弱い。
WPA2-PSK,WPA2の家庭用バージョン。共有鍵（事前共有キー）を使って認証する方式。
SSID,無線LANのネットワーク名。機器が接続先を識別するために使う。
WPS,ボタン操作などで簡単にWi-Fi設定を行う仕組み。Wi-Fi Protected Setup
Wifi-Direct,ルーターを介さず、Wi-Fi機器同士を直接接続できる技術。
TKIP,WPAで使われる暗号化方式。WEPより安全だが、CCMPより弱い。
アクチュエータ,電気信号を受けて動作する装置（例：モーター、バルブなど）。
A/Dコンバータ,アナログ信号をデジタル信号に変換する装置。
コンデンサ,電気を一時的に蓄える電子部品。ノイズ除去や電圧安定に使われる。
ダイオード,電流を一方向にだけ流す電子部品。整流や保護に使われる。
AC/DCコンバータ,交流（AC）を直流（DC）に変換する電源装置。
コイル(インダクタ),磁界を利用して電流を制御する部品。ノイズ除去や電源回路で使われる。
インバータ,直流（DC）を交流（AC）に変換する装置。電源制御やモーター駆動に使用。
マザーボード,コンピュータの主要部品を接続・制御する基板。
MMU,仮想メモリと物理メモリの対応を管理するハードウェア。メモリアクセスの制御や保護も行い、プロセスごとのメモリ空間の分離を実現する。Memory Management Unit
ディジタルシグナルプロセッサ,音声や画像などの信号を高速に処理する専用プロセッサ。略称DSP。
PWM制御,パルスの幅を変えて電力を制御する方式。モーターやLEDの制御に使われる。
ウェアレベリング,フラッシュメモリの寿命を延ばすために書き込み回数を均等化する技術。
ブロックアクセス方式,データを一定サイズのブロック単位で読み書きする記憶方式。
ライトバック方式,書き込みデータを一時的にキャッシュに保持し、後でメモリに反映する方式。
ライトスルー方式,書き込み時にキャッシュと同時にメインメモリにも即座に反映する方式。
DRAM,コンデンサでできた安価で大容量な主記憶装置。定期的にリフレッシュが必要。
SRAM,フリップフロップ回路を用いた高速だが高価なメモリ。キャッシュに使用される。リフレッシュ不要。
フラッシュメモリ,データを電気的に消去・書き換えできる不揮発性メモリ。
EDO-DRAM,DRAMの一種で、データの読み出し効率を高めた古い方式。
DDR-SDRAM,データをクロックの立ち上がりと立ち下がりで転送する高速DRAM。
SDRAM,クロック同期型のDRAM。従来のDRAMより高速。
NAS,ネットワーク経由でアクセスするファイル共有専用ストレージ。
SAN,高速な専用ネットワークで接続されるストレージシステム。
CISC,複雑な命令を持つプロセッサアーキテクチャ。代表例：x86。
MIMD,各プロセッサが異なる命令とデータを同時に処理する並列処理方式。
RISC（Reduced Instruction Set Computer）,命令を単純化して高速処理を実現するプロセッサアーキテクチャ。
DMA,CPUを介さず周辺機器とメモリ間で直接データ転送を行う方式。
ハイパバイザ,仮想マシンを管理・実行するソフトウェアやファームウェア。
コンテナ型仮想化,OSのカーネルを共有しつつ、アプリごとに独立した環境を提供する方式。
ホストOS型,ホストOS上で仮想化ソフトを使って仮想マシンを実行する方式。
シストリックアレイ,行列計算に特化した配列型の並列処理構造。AIや画像処理で活用。
WSDL,Webサービスの機能や通信方法を記述するXMLベースの言語。
DNS,ドメイン名とIPアドレスを相互に変換する仕組み。
ディスクキャッシュ,ディスクの読み書きを高速化するための一時的なメモリ領域。
キャッシュメモリ,CPUと主記憶の間でデータ転送を高速化するための高速メモリ。
静電センサーの説明,静電容量の変化を利用して接触や近接を検出するセンサー。タッチパネルなどに使用。
センサ,温度や圧力などの物理量を電気信号に変換する装置。
シーケンス制御,決まった順序で処理を進める制御方式。リレー制御やPLCで使われる。
汎用レジスタ,演算やデータの一時保持などに使われるCPU内の汎用的なレジスタ。
アキュムレータ,演算結果の一時保存に使われるレジスタ。累積計算に使用される。
命令レジスタ,実行中の命令を保持するCPU内のレジスタ。
プログラムカウンタ,次に実行する命令のアドレスを保持するレジスタ。
スタックポインタ,スタックの現在位置を示すレジスタ。関数呼び出しなどで使用。
ステータスレジスタ,演算結果の状態（例：ゼロ・キャリーなど）を示すフラグを保持するレジスタ。
仮想記憶方式,実際の物理メモリよりも大きなメモリ空間をOSが提供する仕組み。
SoC,複数の機能を1つのチップに統合した集積回路。スマホなどで使用。
マイクロコントローラ,入出力制御や処理を1チップで行う組み込み向けの小型CPU。
チップセット,マザーボード上でCPUと周辺機器の橋渡しをする制御チップ群。
RFID,無線で情報を読み書きできるIDタグシステム。物流や入退室管理に利用。
シリアルATA,ATAを高速化したストレージ接続用のシリアル接続方式。1.5Gビット/秒
パラレルATA,従来のストレージ接続方式、IDE/EIDEの拡張規格。複数ビットを並列に転送。33.3Mバイト/秒
IEEE1394,映像や音声機器向けの高速シリアルバス（FireWire）。
IEEE802.3,有線LAN（Ethernet）の規格。
RS-232C,コンピュータと周辺機器を接続するためのシリアル通信規格。115.2kビット/秒
NFS,ネットワーク上でファイル共有を行うための仕組み。
マルチコアプロセッシング,複数のCPUコアで並列に処理を行う方式。性能や効率が向上する。
メモリインタリーブ,メモリを複数バンクに分けて同時にアクセスし、転送速度を向上させる技術。
PoE,LANケーブル経由で電力供給を行う技術。
PLC,工場などで機械制御を行うプログラム可能な制御装置。
UPS,停電時に一時的に電力を供給する装置。
MIPS,コンピュータの命令処理速度の単位。
SDXC,大容量のSDカード規格。最大2TBまで対応。
SDIO,SDカードスロットを使って通信やGPSなどの機能を追加する規格。
パイプライン制御,複数の命令処理を重ねて同時進行させるCPUの高速化技術。
オープンスタック,オープンソースのクラウド基盤構築ソフトウェア群。
マルチテナント,一つのシステムを複数の利用者（テナント）で共有する方式。
リソースオンデマンド,必要に応じてコンピュータリソースを柔軟に割り当てる仕組み。
DSP,デジタル信号処理専用の高速プロセッサ。
ポート番号,ネットワーク上でアプリケーションを識別する番号。
IPアドレス,ネットワーク上の機器を識別するための番号。
MACアドレス,ネットワーク機器に固有の物理アドレス。
リピータ,信号を増幅・再生して通信距離を延ばす装置。
ゲートウェイ,異なるネットワーク間の通信を仲介・変換する装置。
ブリッジ,LAN内の複数セグメントを接続し、フレーム転送を行う装置。
ルータ,ネットワーク間の経路選択を行いパケット転送する装置。
ハブ,LAN内の信号を単純に全ポートに中継する装置。
SiP,複数の半導体チップを一つのパッケージに集積した技術。
レイヤ2スイッチ,データリンク層でフレームの転送を制御するネットワーク機器。
MMU,仮想メモリと物理メモリの対応を管理するハードウェア。
LSI,大規模集積回路。多数のトランジスタを一つのチップに集積。
連続格納方式,データを連続したメモリ領域に順番に格納する方式。
リンク連結方式,複数のメモリブロックをポインタでつなげて管理する方式。
USB,汎用シリアル通信規格。周辺機器接続に広く利用される。
NFC,近距離無線通信規格。スマホ決済や電子タグに利用。
パーテーション分割,ストレージやメモリを区切り、複数の論理領域に分けること。
シンプロビジョニング,必要な時に必要なだけ記憶領域を割り当てるストレージ管理技術。
SystemC,ハードウェア設計用のC++ベースの記述言語。
HDL（Hardware Description Language）,ハードウェア記述言語。ハードウェア設計に用いられる言語全般（SystemC、VHDL、Verilog）。
相変化メモリ,電気的に相の変化を利用して情報を記録する新しいタイプの不揮発性メモリ。
パワーゲーティング,回路の不要な部分の電源を切って消費電力を抑える技術。
マルチVdd,回路の部位ごとに異なる電圧で動作させて省電力を図る技術。
クロックゲーティング,不要な回路のクロック供給を止めて消費電力を削減する技術。
クラウドサービス,ネットワーク経由で提供されるITリソースやサービスの総称。
IMAP4,電子メールをサーバ上で管理し、複数端末から同期できるプロトコル。
POP3,電子メールをサーバから端末にダウンロードするためのプロトコル。
IMAPS,IMAP4の通信をSSL/TLSで暗号化した安全なバージョン。
MIME,メールで画像や音声など多様なデータを送るための拡張仕様。
SMTP,電子メールの送信に使われる通信プロトコル。
SMTP Submission,メール送信のためのSMTPのサブセットで、認証を必須とする。
SMTP over SSL(TLS),SMTP通信をSSL/TLSで暗号化して安全に行う方式。
WAF,Webアプリケーションに対する攻撃を防ぐファイアウォール。
ファイアウォール,ネットワークの出入りを監視・制御し、不正アクセスを防ぐ装置やソフト。
DMZ,外部ネットワークと内部ネットワークの中間に設置する中間ゾーン。
SNMP,ネットワーク機器の監視・管理に使われる通信プロトコル。
SSH,安全にリモート操作を行うための暗号化通信プロトコル。
S/MIME,メールの暗号化・署名のための標準プロトコル。
CRL,失効した証明書の一覧。証明書の有効性確認に使う。
DNSSEC,DNSの応答の改ざんを防ぐための認証拡張。
公開鍵暗号方式,暗号化と復号に異なる鍵（公開鍵と秘密鍵）を使う方式。
楕円曲線暗号,公開鍵暗号方式の一種で、短い鍵長で高い安全性を持つ。
AES,高速かつ安全な共通鍵暗号方式の標準。
OCSP,証明書の失効情報をリアルタイムに確認するプロトコル。Online Certificate Status Protocol
KCipher-2,日本で開発された共通鍵暗号方式。
SHA-256,セキュリティ強化されたハッシュ関数の一種。
RSA,公開鍵暗号方式の代表的アルゴリズム。
DSA,電子署名に特化した公開鍵暗号方式。
PGP,メールなどの暗号化・署名に使われるソフトウェア。pretty good privacy
リバースプロキシ,クライアントからの要求を代理で受けるサーバ。負荷分散やセキュリティに利用。
IDS,ネットワーク侵入検知システム。攻撃を検知する装置やソフト。
IPS,IDSに加え攻撃を防御（遮断）する機能も持つシステム。
インテグリティチェック法,データの完全性を検証する方法。
チェックサム法,データの誤り検出のために合計値を計算する技術。
ステガノグラフィ,メッセージやデータを画像・音声・動画などにこっそり埋め込んで隠す技術。存在自体を秘匿できる。
SET,電子商取引で安全なクレジットカード決済を実現するプロトコル。Secure Electronic Transactions
リバースプロキシ,クライアントからの要求を代理で受けるサーバ。負荷分散やセキュリティに利用。
フォワードプロキシ,クライアントの代理として外部ネットワークに接続するサーバ。
TPM（Trusted Platform Module）,ハードウェアベースのセキュリティモジュール。
SPF,メール送信元の偽装を防ぐための仕組み。
UTM（Unified Threat Management）,複数のセキュリティ機能を統合したネットワークセキュリティ装置。
MAC,メッセージ認証コード。通信の完全性と認証に用いる。
レインボー攻撃,ハッシュ値から元のデータを高速に復元しようとする攻撃手法。
ブルートフォース攻撃,あり得るパスワードを総当たりで試す攻撃手法。
逆ブルートフォース攻撃,多数のアカウントに対し、1つのパスワードを試す攻撃手法。
ドライブバイダウンロード,ユーザーが気づかないうちにマルウェアを自動的にダウンロードさせる攻撃。
水飲み場攻撃,特定のサイトやサービスを狙い、訪問者を狙う標的型攻撃。
ゼロデイ攻撃,公開前の脆弱性を悪用する攻撃。対策がないため非常に危険。
クロスサイトスクリプティング,Webサイトに悪意あるスクリプトを挿入する攻撃。
ディレクトリトラバーサル,サーバ上の本来アクセスできないファイルに不正アクセスする攻撃。
スプーフィング,なりすましを行う攻撃。IPやメールアドレスを偽装することが多い。
スニッフィング,通信を盗聴して情報を取得する行為。
クリックジャッキング,見えないボタンを重ねてユーザーに意図しない操作をさせる攻撃。
MITB攻撃（Man-in-the-Browser）,ブラウザ内にマルウェアを仕込み、通信内容を盗み操作する攻撃。
MITM攻撃（Man-in-the-Middle）,通信の途中に割り込み、情報を盗んだり改ざんする攻撃。
DNSキャッシュポイズニング攻撃,DNSのキャッシュを書き換え、偽サイトに誘導する攻撃。
ソーシャル・エンジニアリング,人の心理をついて情報を引き出す攻撃手法。
サイドチャネル攻撃,電磁波や消費電力などの副次的情報から秘密情報を盗む攻撃。
踏み台攻撃,他のコンピュータを乗っ取り、そこからさらに攻撃を行う手法。
APT攻撃,高度な持続的標的型攻撃。長期間にわたり継続的に狙う。
ファーミング攻撃,DNSを書き換え、正規サイトへのアクセスを偽サイトへ誘導する攻撃。
リプレイアタック,通信内容を盗み、再送信して不正利用する攻撃。
バッファオーバフロー,メモリの限界を超えてデータを書き込み、プログラムを乗っ取る攻撃。
サニタイジング,入力値の無害化処理。XSSなどの対策に使われる。
ポートスキャン,ネットワーク上の開いているポートを探す手法。
OP25B,迷惑メール送信対策でISPがSMTPポート25の送信制限をする仕組み。
ランサムウェア,ファイルを暗号化して身代金を要求するマルウェア。
ドライブバイダウンロード,ユーザーが気づかないうちにマルウェアを自動的にダウンロードさせる攻撃。
パケットフィルタリング,通信パケットの内容に基づき通過を許可・拒否するセキュリティ技術。
